# visible | name                  | mask     | color | combinedDesc                    | description
*       | POL_FLAG_1            | 00000001 | *     | DBL_SM_XXXX_MIR_XXXF1C_0401_POL | Flag indicating antenna HH (0) or VV (1) polarisation
*       | POL_FLAG_2            | 00000002 | *     | DBL_SM_XXXX_MIR_XXXF1C_0401_POL | Flag indicating Real and Imaginary part of the HV polarization when the instrument was in VHH+HVH+HHV arm configuration
*       | SUN_FOV               | 00000004 | *     | *                               | Direct Sun correction for the Sun in the front of the FOV has been performed during image reconstruction of this pixel
*       | SUN_GLINT_FOV         | 00000008 | *     | *                               | Reflected Sun correction has been performed during image reconstruction of this pixel. Sun correction is based on the Sea bistatic coefficients defined in the AUX_BSCAT ADF and computed for a fixed wind speed of 7 m/s and wind direction of 0 deg North
*       | MOON_FOV              | 00000010 | *     | *                               | Direct Moon correction has been performed during image reconstruction of this pixel
*       | SINGLE_SNAPSHOT       | 00000020 | *     | *                               | Scene has not been combined with an adjacent scene in opposite polarisation during image reconstruction to account for crosspolarisation leakage (it has been processed with only co-polar antenna patterns information)
*       | SUN_POINT             | 00000080 | *     | *                               | Pixel is located in a zone (circle around Sun alias position with radius configurable through Sun_Point_Flag_Size field in AUX CNFL1P) where a Sun alias was reconstructed (if Sun removal is active                                                       ,measurement may be degraded)
*       | SUN_GLINT_AREA        | 00000100 | *     | *                               | Pixel is located in a zone where Sun reflection has been detected using the bi-static scattering coefficient threshold defined in the configuration file
*       | MOON_POINT            | 00000200 | *     | *                               | Pixel is located in a zone where a Moon alias was reconstructed (after Moon removal                                                                                                                                                                        ,measurement may be degraded)
*       | AF_FOV                | 00000400 | *     | *                               | Pixel is inside the exclusive zone of Alias free (delimited by the six aliased unit circles)
*       | BORDER_FOV            | 00001000 | *     | *                               | Pixel is close to the border delimiting the Extended Alias free zone or to the unit circle replicas borders (also known as “suspenders and belts”). Distance threshold is configurable through FOV_Border_Flag_Size field in AUX CNFL1P
*       | SUN_TAILS             | 00002000 | *     | *                               | Pixel is located in the hexagonal alias directions centred on a Sun alias (if Sun is not removed                                                                                                                                                           ,measurement may be degraded in these directions)
*       | RFI_POINT_SOURCE      | 00000040 | *     | *                               | Measurement is affected by point source RFI as identified in the AUX RFI list (flag is set in a circle around the RFI position                                                                                                                             ,with a radius dependant on the RFI expected BT defined in the AUX RFILST),or it has exceeded the threshold defined in BT_Dual/Full_RFI_Pixel_Flag_Threshold fields in AUX CNFL1P,or is negative for Dual Polarisation values
*       | RFI_TAIL              | 00000800 | *     | *                               | Measurement is affected by the tails of a point source RFI as identified in the AUX RFI list (tail width is dependant on the RFI estimated BT (from each snapshot measurements)                                                                            ,corresponding to 0.16 of the radius of the RFI circle flagged)
*       | RFI_FLAG_1            | 00004000 | *     | DBL_SM_XXXX_MIR_XXXF1C_0401_RFI | Measurement is affected by a point source RFI identified in the AUX RFI list whose contribution generates a contamination in BT above a certain level defined in the AUX CNFL1P file
*       | RFI_FLAG_2            | 00008000 | *     | DBL_SM_XXXX_MIR_XXXF1C_0401_RFI | Measurement is affected by a point source RFI identified in the AUX RFI list whose contribution generates a contamination in BT above a certain level defined in the AUX CNFL1P file